,Texas,Georgia,Virginia,Kentucky,Missouri,Kansas,Illinois,North Carolina,Iowa,Tennessee,Nebraska,Indiana,Ohio,Minnesota,Michigan,Mississippi,Puerto Rico,Oklahoma,Arkansas,Wisconsin,Alabama,Florida,Pennsylvania,South Dakota,Louisiana,Colorado,New York,California,Montana,West Virginia,North Dakota,South Carolina,Idaho,Washington,Oregon,New Mexico,Alaska,Maryland,Wyoming,New Jersey,Maine,Nevada,Arizona,Vermont,Utah,Massachusetts,New Hampshire,Connecticut,Rhode Island,Hawaii,Delaware,District of Columbia
2021-03-08,2699083,1024931,586592,411040,567734,298788,1199441,874906,340128,783904,203027,667736,979725,490483,658355,297651,101327,429162,324951,621842,500092,1948307,952818,113596,434289,437187,1700091,3602380,100959,133627,100419,526716,173309,345731,157515,187040,59677,388035,54903,814916,45933,296393,827237,16199,375110,592344,77060,287396,128981,28784,88563,41579
2021-03-09,2704712,1026692,588129,411917,568406,298806,1200938,875903,340891,785242,203279,668308,981618,492108,659890,298008,101937,429432,325383,622444,500616,1952733,955743,113753,434926,438025,1706924,3607891,101093,133856,100514,527348,173790,346403,158007,187238,59766,388666,54972,819042,46066,296822,827800,16286,375669,593607,77252,288145,129277,28827,88679,41910
2021-03-10,2710278,1028432,589375,412924,568441,299536,1202633,877764,341378,786597,203587,669164,983486,493013,662572,298445,102051,430250,325700,623150,501398,1957586,958349,113962,435514,439265,1713030,3611295,101243,134158,100615,528473,174246,347131,158291,187487,59921,389566,55014,822817,46261,297147,828630,16371,376327,595264,77463,288657,129595,28831,88891,42006
2021-03-11,2715993,1030146,590625,414131,568918,299562,1204323,879825,341838,788109,203890,670074,984934,494106,665141,299124,102407,430944,326040,623801,502263,1962651,961092,114163,435935,440220,1720199,3614852,101424,134496,100726,529392,174610,347884,158644,187720,60157,390490,55112,826632,46448,297765,830655,16500,376973,597073,77764,289392,130120,28943,89680,42128
2021-03-12,2721511,1031713,592214,415091,569758,299995,1206084,881823,342343,789652,204162,671023,986740,495208,668085,299887,102567,431366,326499,624508,502711,1967865,964147,114347,436482,441511,1724425,3618777,101556,134842,100847,530880,174943,348516,159037,187984,60266,391480,55163,830681,46657,298623,831832,16623,377492,598859,78074,290577,130502,29213,89911,42282
2021-03-13,2724607,1032967,593562,415770,570508,299995,1207757,882715,342705,789652,204464,671859,988298,496395,670088,300577,102802,431991,326813,625045,503305,1973109,966538,114493,436482,442753,1734676,3620890,101726,135149,100942,532549,175236,349425,159402,188167,60266,392581,55163,834547,46863,299065,832094,16698,377983,600616,78319,290577,130502,29180,90156,42432
2021-03-14,2727462,1033786,594735,416215,571005,299995,1209245,882715,342886,789652,204638,672554,989191,497392,670088,300780,102995,432483,326943,625359,503673,1976808,968259,114623,437393,443968,1741363,3623063,101760,135468,100976,533421,175236,349425,159617,188311,60267,393441,55163,837861,47032,299287,832743,16890,378379,602308,78615,290577,130502,29219,90381,42511
2021-03-15,2731814,1034763,595865,416610,571405,300434,1210032,886218,343303,792795,204753,672967,990340,498218,673916,300881,103211,432793,327060,625690,508229,1979634,970281,114649,437565,444390,1748482,3626027,101933,135678,101001,534188,175657,350506,159790,188488,60655,394058,55327,840685,47206,299471,833381,16992,378600,603464,78813,293102,131487,29259,90614,42623
2021-03-16,2737763,1036506,597141,417412,572074,300441,1212014,887311,343851,794137,205103,673528,992223,498926,676494,301250,103278,433025,327456,626364,508717,1984425,973370,114791,438557,444712,1755193,3628300,102344,136019,101150,534869,176007,351109,160051,188664,60758,394716,55352,844398,47395,299817,833878,17047,379081,604666,79070,293955,131750,29307,90751,42730
2021-03-17,2742274,1038550,598468,418372,572844,301063,1213668,889310,344267,795963,205214,674430,993681,499962,680279,301602,103347,433516,327781,627060,509476,1989024,976442,114966,439002,445338,1761775,3631572,102484,136334,101284,536100,176461,352012,160288,188907,60934,395633,55449,848727,47591,300118,834323,17106,379780,606377,79367,294328,132184,29397,91123,42811
2021-03-18,2745694,1040817,600550,419149,573559,301085,1215992,891314,344860,796624,205539,675388,995785,501458,683398,301924,103679,434075,328045,627743,510048,1994117,979638,115203,439543,446580,1767290,3635179,102616,136716,101403,537498,176802,352907,160622,189158,61091,396746,55479,853188,47832,300415,834607,17247,380340,608318,79702,295484,132616,29505,91425,42892
2021-03-19,2749624,1042417,602182,419872,574201,301519,1218387,893229,345304,798621,205814,676247,997336,502893,687815,302316,103895,434491,328273,628428,510579,1999257,983109,115518,439737,448362,1772367,3638212,102768,137092,101514,538801,177185,353792,160994,189374,61162,397898,55581,857739,48071,300680,835030,17393,380787,610481,79996,296691,133039,29763,91635,43034
2021-03-20,2752279,1044134,603745,420512,574847,301519,1220326,895263,345642,798621,206246,677135,998819,504273,691070,302677,104221,434491,328547,628969,511087,2004362,986712,115723,439737,449828,1779034,3640524,102966,137478,101602,540390,177420,354782,161320,189560,61165,399016,55581,862648,48293,300951,835765,17555,381254,612857,80316,296691,133039,29765,91942,43175
2021-03-21,2754616,1045694,604904,420828,575253,301519,1221775,895263,345785,798621,206388,677905,999750,505224,691070,302837,104516,434491,328655,629407,511460,2008349,988656,115867,439737,450630,1782769,3641876,103060,137826,101651,541582,177420,354782,161531,189731,61165,400023,55581,865886,48464,301178,836253,17740,381629,614668,80543,296691,133039,29830,92287,43229
2021-03-22,2757552,1046382,605967,421121,575562,301898,1222992,898102,346217,801645,206571,678416,1001194,506376,696838,302932,104743,435450,328707,629787,511779,2011211,991089,115972,441066,450934,1785565,3645303,103098,138102,101701,542203,177760,355986,161706,189893,61517,400705,55730,869037,48642,301334,836737,17839,381788,615874,80750,299667,134039,29915,92429,43383
2021-03-23,2762270,1048173,607234,421999,576071,301927,1224804,899164,346984,803104,206707,679079,1002822,507231,701378,303238,104888,435634,328946,629787,511789,2016513,994694,116100,441771,452304,1788874,3647808,103452,138429,101865,542912,178119,356536,162016,190064,61694,401427,55799,873840,48773,301481,837244,17933,382171,617695,81132,300565,134336,29916,92609,43488
2021-03-24,2766259,1049397,608704,422694,576914,302497,1227613,901262,347592,804492,206939,680046,1004670,508541,706550,303625,104966,436135,329177,631301,512711,2021656,999311,116370,442221,453520,1816518,3650638,103666,138818,102001,543925,178544,357499,162383,190275,61914,402600,55887,877936,48972,301727,837849,18028,382733,619816,81521,302022,134807,29974,92819,43595
2021-03-25,2769451,1051361,610263,423414,578148,302549,1229806,903374,348498,806011,207227,680998,1006171,510398,712393,303942,105226,436504,329511,632123,513138,2027429,1002909,116624,442620,454893,1825069,3653168,103830,139251,102198,545254,178887,358606,162804,190491,62063,403982,55920,881882,49190,302171,837987,18215,383260,622226,82039,303510,135290,30095,93038,43669
2021-03-26,2776370,1053020,612062,424055,579058,302988,1232801,905528,349057,806792,207667,682099,1008913,512097,718455,304210,105625,436971,329695,632945,513580,2033179,1007892,116833,443069,456302,1833128,3656610,103980,139750,102382,546670,179204,359666,163294,190716,62255,405343,56046,887481,49443,302616,838558,18498,383713,624986,82374,305210,135775,30265,93325,43825
2021-03-27,2779464,1054430,613974,424055,579654,302988,1235485,905528,349554,806792,208118,683076,1010603,513833,723700,304420,105893,436971,329860,633663,514072,2039062,1013488,117081,443069,457597,1841822,3658714,104097,140316,102536,548114,179428,361115,163702,190887,62263,406709,56046,892143,49653,302918,839334,18623,384173,627556,82745,305210,135775,30377,93701,44051
2021-03-28,2782735,1055256,615366,425024,580080,302988,1237732,905528,349714,806792,208424,684020,1011622,515058,723700,304616,106488,436971,329929,634133,514391,2044005,1013731,117244,443069,458554,1850732,3660713,104128,140613,102583,549199,179428,361115,163952,191048,62264,408044,56046,896652,49850,303061,839888,18820,384562,629531,83027,305210,135775,30479,94062,44175
2021-03-29,2786219,1056421,616509,425333,580417,303418,1239502,910833,350219,809692,208553,684733,1013119,516608,732938,304695,106935,437853,330008,634453,514619,2047379,1017881,117336,443905,459361,1859474,3663913,104163,140991,102639,550068,179763,362385,164164,191230,62265,409075,56190,900273,50030,303273,840492,19002,384756,631031,83340,308439,136419,30579,94402,44248
2021-03-30,2789428,1057741,617941,426073,580980,303443,1241903,912203,350756,810529,208912,685453,1015577,517881,739244,304858,107105,437974,330186,635314,514980,2052441,1022992,117495,444414,460318,1865349,3666266,104321,141322,102880,550669,180076,363235,164570,191377,62901,409978,56236,905144,50253,303494,841078,19109,385127,633081,83714,310056,136765,30654,94573,44413
2021-03-31,2791910,1059548,618976,426876,581680,303940,1244499,914132,351402,811842,209346,686497,1017566,519529,746351,305146,107470,438364,330398,636041,515388,2057735,1027678,117759,444933,462081,1873138,3668745,104552,141738,103091,551630,180536,364486,165012,191652,62901,411344,56310,908816,50504,303762,841811,19275,385641,635580,84176,310624,137329,30754,94802,44513
2021-04-01,2797010,1060973,620801,427842,582380,303962,1248021,916159,352137,813614,209896,687713,1020041,521667,753449,305417,107980,438777,330609,636908,515866,2064525,1031542,117989,445469,463685,1882308,3671349,104725,142233,103299,552681,180897,365762,165524,191945,63298,412928,56389,914422,50788,304112,842192,19523,386128,638339,84539,312468,137848,30867,95188,44656
2021-04-02,2799375,1062555,622339,428527,583131,304429,1251255,916159,352714,813614,211239,688916,1021718,524203,759600,305701,108772,439149,330753,637801,516266,2071015,1035559,118186,445469,465330,1890346,3675191,104853,142653,103460,554031,181181,367115,166013,192152,63501,414385,56447,918951,51189,304454,843132,19755,386550,640779,85010,313956,138255,31129,95590,44807
2021-04-03,2801218,1063680,623881,429106,583691,304429,1254091,916159,353207,813614,211570,689965,1024011,526267,768892,305991,109407,439149,330970,638590,516615,2077032,1040692,118361,445469,466901,1898101,3675272,105035,143106,103577,555274,181181,368403,166480,192152,63501,415660,56447,923396,51470,304916,843838,19905,386997,643232,85448,313956,138255,31241,96077,44932
2021-04-04,2802225,1064554,625148,429106,584228,304429,1256533,916159,353362,813614,211812,690910,1024011,526267,768892,306088,109833,439149,331054,639227,516809,2081826,1043524,118361,445469,468121,1905737,3675272,105142,143456,103638,555274,181181,368403,166882,192152,63501,417329,56447,927195,51765,305176,844302,20149,387341,643232,85846,313956,138255,31337,96376,45037
2021-04-05,2806908,1065197,626171,429511,584555,304784,1258630,922560,353829,817022,211958,691625,1026929,527650,779974,306158,109833,440022,331098,639553,516918,2085306,1047728,118517,446737,468988,1912396,3682861,105142,143733,103714,556469,181836,370017,167128,192595,64001,418188,56529,930026,51986,305357,844910,20267,387514,646220,86125,316655,139173,31430,96577,45112
