End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](https://www.marist.edu/-/coronavirus-message-10-08-2020),41.720937,-73.935484,Marist College,"Poughkeepsie, NY",Suspended in-person instruction,Oct. 9-10,10/8/2020,https://www.marist.edu/-/coronavirus-message-10-08-2020,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.oak.edu/coronavirus-covid-19),38.340891,-87.35144,Oakland City University,"Oakland City, IN",Suspended in-person instruction,2 weeks,10/8/2020,https://www.oak.edu/coronavirus-covid-19,,,,,,,1,,,,,,,,,,
10/21/2020,[Source](https://www.facebook.com/51791915551/posts/10158484738130552/),42.087868,-75.966889,Binghamton University,"Binghamton, NY",Suspended in-person instruction,2 weeks,10/7/2020,https://www.facebook.com/51791915551/posts/10158484738130552/,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://myec.elmira.edu/ICS/icsfs/mm/ec_community_update_100720.pdf?target=348a1181-c3e4-495e-9a41-4365358df692),42.0961,-76.813459,Elmira College,"Elmira, NY",Extended suspension of in-person instruction,Oct. 16,10/7/2020,https://myec.elmira.edu/ICS/icsfs/mm/ec_community_update_100720.pdf?target=348a1181-c3e4-495e-9a41-4365358df692,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.trincoll.edu/reopening/covid-19-update-alert-level-raised-to-orange/),41.747451,-72.690882,Trinity College,"Hartford, CT",Suspended in-person instruction,12-Oct,10/7/2020,https://www.trincoll.edu/reopening/covid-19-update-alert-level-raised-to-orange/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://covid.jwu.edu/pvd-news/providence-campus-update-postponing-august-commencement-b7w48-46ben),41.819956,-71.41277,Johnson & Wales University-Providence,"Providence, RI",Suspended in-person instruction,,10/5/2020,https://covid.jwu.edu/pvd-news/providence-campus-update-postponing-august-commencement-b7w48-46ben,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://daily.kellogg.edu/2020/10/05/kcc-to-convert-most-face-to-face-classes-to-online-for-remainder-of-semester/),42.335638,-85.177329,Kellogg Community College,"Battle Creek, MI",Suspended in-person instruction,rest of semester,10/5/2020,https://daily.kellogg.edu/2020/10/05/kcc-to-convert-most-face-to-face-classes-to-online-for-remainder-of-semester/,,,,,,,1,,,,,,,,,,
10/20/2020,[Source](http://www2.cortland.edu/offices/student-health-service/coronavirus/detail.dot?id=0bd93eed-a0ed-4601-841d-d2b52ee47f30),42.598022,-76.188655,SUNY Cortland,"Cortland, NY",Suspended in-person instruction,2 weeks,10/5/2020,http://www2.cortland.edu/offices/student-health-service/coronavirus/detail.dot?id=0bd93eed-a0ed-4601-841d-d2b52ee47f30,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.suny.edu/suny-news/press-releases/10-20/10-3-20/corning-statement.html),42.116736,-77.072138,Corning Community College,"Corning, NY",Suspended in-person instruction,Oct. 5,10/3/2020,https://www.suny.edu/suny-news/press-releases/10-20/10-3-20/corning-statement.html,,,,,,,1,,,,,,,,,,
10/8/2020,[Source](https://www2.lehigh.edu/news/10220-scaling-back-campus-activity),40.606822,-75.380236,Lehigh University,"Bethlehem, PA",Suspended in-person instruction,2 weeks,10/2/2020,https://www2.lehigh.edu/news/10220-scaling-back-campus-activity,,,,,,,3,,,,,,,,,,
10/16/2020,[Source](https://www.monmouth.edu/covid-19/important-covid-19-update-to-operations/),40.280066,-74.006447,Monmouth University,"West Long Branch, NJ",Suspended in-person instruction,Through Oct. 16,10/2/2020,https://www.monmouth.edu/covid-19/important-covid-19-update-to-operations/,,,,Yes,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.suny.edu/suny-news/press-releases/10-20/10-2-20-oswego/oswego-lists-pause.html),43.454287,-76.540798,SUNY College at Oswego,"Oswego, NY",Resumed in-person instruction,Oct. 5,10/2/2020,https://www.suny.edu/suny-news/press-releases/10-20/10-2-20-oswego/oswego-lists-pause.html,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.finlandia.edu/news/finlandia-university-safe-open-plan-update-9-28-20/),47.127868,-88.588756,Finlandia University,"Hancock, MI",Suspended in-person instruction,one week,9/28/2020,https://www.finlandia.edu/news/finlandia-university-safe-open-plan-update-9-28-20/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.merrimack.edu/covid-19/alerts/sept-27-important-campus-update/index.php),42.668344,-71.124216,Merrimack College,"North Andover, MA",Suspended in-person instruction,Through Oct. 3,9/27/2020,https://www.merrimack.edu/covid-19/alerts/sept-27-important-campus-update/index.php,,,,,,,1,,,,,,,,,,
