,School,Plan,Type,Date,Reversal Count,Location
25,Lafayette College,All remote instruction,closing,2020-07-22,1,"Easton, PA"
26,Kean University,Delayed in-person start,closing,2020-07-22,1,"Union, NJ"
27,Clemson University,Delayed in-person start,closing,2020-07-22,1,"Clemson, SC"
28,Azusa Pacific University,All remote instruction,closing,2020-07-22,1,"Azusa, CA"
29,Washington State University,All remote instruction,closing,2020-07-23,1,"Pullman, WA"
30,Seattle University,Most courses online,closing,2020-07-23,1,"Seattle, WA"
31,Randolph College,All remote instruction,closing,2020-07-23,1,"Lynchburg, VA"
32,Whitman College,Most courses online,closing,2020-07-24,1,"Walla Walla, WA"
33,Lyon College,All remote instruction,closing,2020-07-24,1,"Batesville, AR"
34,Coastal Carolina University,Delayed in-person start,closing,2020-07-24,1,"Conway, SC"
35,Rhode Island College,Most courses online,closing,2020-07-25,1,"Providence, RI"
36,Winthrop University,Delayed in-person start,closing,2020-07-27,1,"Rock Hill, SC"
37,Agnes Scott College,All remote instruction,closing,2020-07-27,1,"Decatur, GA"
38,Northern Arizona University,Delayed in-person start,closing,2020-07-27,1,"Flagstaff, AZ"
39,George Washington University,All remote instruction,closing,2020-07-27,1,"Washington, DC"
40,West Virginia University,Most courses online,closing,2020-07-27,2,Morgantown. WV
41,Lock Haven University,Most courses online,closing,2020-07-27,2,"Lock Haven, PA"
42,Millersville University of Pennsylvania,Most courses online,closing,2020-07-27,1,"Millersville, PA"
43,Eastern New Mexico University,Most courses online,closing,2020-07-28,1,"Portales, NM"
44,University of Evansville,Delayed in-person start,closing,2020-07-28,1,"Evansville, IL"
45,Clarion University of Pennsylvania,Most courses online,closing,2020-07-29,1,"Clarion, PA"
46,Georgetown University,All remote instruction,closing,2020-07-29,1,"Washington, DC"
47,Hendrix College,All remote instruction,closing,2020-07-29,1,"Conway, AR"
48,Mars Hill University,Delayed in-person start,closing,2020-07-29,1,"Mars Hill, NC"
49,Marshall University,Most courses online,closing,2020-07-29,1,"Huntington, WV"
50,University of Puget Sound,All remote instruction,closing,2020-07-29,1,"Tacoma, WA"
51,University of San Diego,All remote instruction,closing,2020-07-29,1,"San Diego, CA"
52,University of Southern Mississippi,Delayed in-person start,closing,2020-07-29,1,"Hattiesburg, MS"
53,Muhlenberg College,Fewer students on campus,closing,2020-07-30,1,"Allentown, PA"
54,Western Washington University,Most courses online,closing,2020-07-30,1,"Bellingham, WA"
55,University of Portland,All remote instruction,closing,2020-07-30,1,"Portland, OR"
56,University of Memphis,Delayed in-person start,closing,2020-07-30,2,"Memphis, TN"
57,Portland State University,Most courses online,closing,2020-07-30,1,"Portland, OR"
58,Johnson C Smith University,All remote instruction,closing,2020-07-30,1,"Charlotte, NC"
59,American University,All remote instruction,closing,2020-07-30,1,"Washington, DC"
60,Menlo College,All remote instruction,closing,2020-07-30,1,"Atherton, CA"
61,Queens University of Charlotte,All remote instruction,closing,2020-07-31,1,"Charlotte, NC"
62,Christopher Newport University,Delayed in-person start,closing,2020-07-31,1,"Newport News, VA"
63,Fairleigh Dickinson University,Delayed in-person start,closing,2020-07-31,1,"Teaneck, NJ"
64,Catholic University of America,Most courses online,closing,2020-07-31,1,"Washington, DC"
65,California University of Pennsylvania,All remote instruction,closing,2020-07-31,1,"California, PA"
66,Lehigh University,Most courses online,closing,2020-07-31,3,"Bethlehem, PA"
67,Ohio University,Delayed in-person start,closing,2020-07-31,2,"Athens, OH"
68,California Lutheran University,All remote instruction,closing,2020-07-31,1,"Thousand Oaks, CA"
69,Indiana University of Pennsylvania,Fewer students on campus,closing,2020-08-02,1,"Indiana, PA"
70,The College of New Jersey,All remote instruction,closing,2020-08-03,1,"Ewing, NJ"
71,University of Virginia's College at Wise,Delayed in-person start,closing,2020-08-03,1,"Wise, VA"
72,Alcorn State University,Delayed in-person start,closing,2020-08-03,1,"Alcoln, MS"
73,Franklin and Marshall College,Fewer students on campus,closing,2020-08-03,1,"Lancaster, PA"
74,Randolph-Macon College,Delayed in-person start,closing,2020-08-04,1,"Ashland, VA"
75,Mansfield University of Pennsylvania,Most courses online,closing,2020-08-04,1,"Mansfield, PA"
76,Illinois State University,Delayed in-person start,closing,2020-08-04,1,"Normal, IL"
77,Columbus College of Art and Design,All remote instruction,closing,2020-08-04,1,"Columbus, OH"
78,Chapman University,Start semester online,closing,2020-08-04,1,"Orange, CA"
79,Washington College,All remote instruction,closing,2020-08-04,1,"Chestertown, MD"
80,Alma College,All remote instruction,closing,2020-08-04,1,"Winston-Salem, NC"
81,College of Idaho,Most courses online,closing,2020-08-04,1,"Caldwell, ID"
82,Belmont University,Delayed in-person start,closing,2020-08-04,1,"Nashville, TN"
83,University of Virginia,Delayed in-person start,closing,2020-08-04,1,"Charlottesville, VA"
84,University of Mary Washington,Delayed in-person start,closing,2020-08-05,1,"Fredericksburg, VA"
85,The College of Wooster,Delayed in-person start,closing,2020-08-05,4,"Wooster, OH"
86,Smith College,All remote instruction,closing,2020-08-05,1,"Northampton, MA"
87,Santa Clara University,Most courses online,closing,2020-08-05,1,"Santa Clara, CA"
88,Rowan University,Start semester online,closing,2020-08-05,2,"Glassboro, NJ"
89,Regis College,Most courses online,closing,2020-08-05,1,"Weston, MA"
90,Oglethorpe University,All remote instruction,closing,2020-08-05,1,"Atlanta, GA"
91,Marquette University,Fewer students on campus,closing,2020-08-05,1,"Milwaukee, WI"
92,Grand Canyon University,Delayed in-person start,closing,2020-08-05,1,"Phoenix, AZ"
93,Drew University,All remote instruction,closing,2020-08-05,1,"Madison, NJ"
94,Capital University,Delayed in-person start,closing,2020-08-05,1,"Columbus, OH"
95,University of Southern California,All remote instruction,closing,2020-08-05,2,"Los Angeles, CA"
96,University of Washington,Most courses online,closing,2020-08-06,1,"Seattle, WA"
97,University of Massachusetts Amherst,Most courses online,closing,2020-08-06,1,"Amherst, MA"
98,Seton Hall University,Start semester online,closing,2020-08-06,3,"South Orange, NJ"
99,Johns Hopkins University,All remote instruction,closing,2020-08-06,1,"Baltimore, MD"
100,Loyola University Chicago,All remote instruction,closing,2020-08-06,1,"Chicago, IL"
101,Bloomfield College,Delayed in-person start,closing,2020-08-06,1,"Bloomfield, NJ"
102,Saint Peter's University,All remote instruction,closing,2020-08-06,1,"Jersey City, NJ"
103,Wilson College,All remote instruction,closing,2020-08-06,1,"Chambersburg, PA"
104,Otterbein University,Delayed in-person start,closing,2020-08-07,1,"Westerville, OH"
105,Mount Holyoke College,All remote instruction,closing,2020-08-07,1,"South Hadley, MA"
106,Princeton University,All remote instruction,closing,2020-08-07,1,"Princeton, NJ"
107,Howard University,All remote instruction,closing,2020-08-07,1,"Washington, DC"
108,University of Hawaii at Manoa,Most courses online,closing,2020-08-10,1,"Manoa, HI"
109,Macalester College,Fewer students on campus,closing,2020-08-10,1,"St. Paul, MN"
110,Florida Southern College,Fewer students on campus,closing,2020-08-10,1,"Lakeland, FL"
111,East Tennessee State University,Most courses online,closing,2020-08-10,1,"Johnson City, TN"
112,College of the Holy Cross,All remote instruction,closing,2020-08-10,1,"Worcester, MA"
113,Oberlin College,Delayed in-person start,closing,2020-08-10,1,"Oberlin, OH"
114,Columbia College Chicago,Delayed in-person start,closing,2020-08-10,1,"Chicago, IL"
115,"University of Maryland, College Park",Delayed in-person start,closing,2020-08-10,3,"College Park, MD"
116,Brown University,Delayed in-person start,closing,2020-08-11,2,Provience
117,University of Connecticut*,Fewer students on campus,closing,2020-08-11,1,"Storrs, CT"
118,Rider University,All remote instruction,closing,2020-08-11,2,"Lawrenceville, NJ"
119,Chaminade University of Honolulu,Delayed in-person start,closing,2020-08-11,1,"Honolulu, HI"
120,University of Pennsylvania,Most courses online,closing,2020-08-11,1,"Philadelphia, PA"
121,Morgan State University,All remote instruction,closing,2020-08-11,1,"Baltimore, MD"
122,Oregon State University,Most courses online,closing,2020-08-11,1,"Corvallis, OR"
123,University of Wyoming,Delayed in-person start,closing,2020-08-12,4,"Laramie, WY"
124,DePaul University,Most courses online,closing,2020-08-12,1,"Chicago, IL"
125,John Carroll University,Delayed in-person start,closing,2020-08-12,2,"Cleveland Heights, OH"
126,Stanford University*,Most courses online,closing,2020-08-13,1,"Stanford, CA"
127,California Institute of Technology,All remote instruction,closing,2020-08-13,1,"Pasadena, CA"
128,Gustavus Adolphus College,Fewer students on campus,closing,2020-08-14,1,"Saint Peter, MN"
129,Columbia University,All remote instruction,closing,2020-08-14,1,"New York, NY"
130,Barnard College‡,All remote instruction,closing,2020-08-14,1,"New York, NY"
131,Westfield State University‡,Delayed in-person start,closing,2020-08-14,3,"Westfield, MA"
132,Rider University,Delayed in-person start,closing,2020-08-14,2,"Lawrenceville, NJ"
133,Harvey Mudd College,All remote instruction,closing,2020-08-14,1,"Claremont, CA"
134,Seton Hall University,Expanded in-person instruction,opening,2020-08-15,3,"South Orange, NJ"
135,University of North Carolina at Chapel Hill,All remote instruction,closing,2020-08-17,1,"Chapel Hill, NC"
136,Michigan State University,All remote instruction,closing,2020-08-18,2,"East Lansing, MI"
